File,X,Y,Z
F07F2V2,-1.246,1.026,-0.673
F07F3V1,-1.454,1.028,-1.064
F07F4V1,-1.534,1.017,-1.081
F07F4V2,-1.6,1.025,-0.969
F07F5V1,-1.749,1.019,-0.73
F07F5V2,-0.502,1.019,-0.004
F07H0V1,-0.656,1.03,0.632
F07H1V1,-0.144,1.025,0.072
F07H2V1,-0.382,1.026,0.816
F07H3V1,-0.458,1.027,0.901
F07H4V1,-0.564,1.027,0.782
F07H5V1,-0.933,1.028,0.752
F07N1V1,-3.407,1.028,-2.682
F07N1V2,-3.475,1.028,-2.749
F07N2V1,-3.486,1.028,-2.786
F07N3V1,-3.508,1.025,-2.819
F07N4V1,-3.567,1.027,-2.83
F07N4V2,-3.602,1.025,-2.874
F07N5V1,-3.679,1.029,-2.803
F07SA0V1,-1.204,1.026,1.398
F07SA1V1,-3.788,1.03,-2.776
F07SA1V2,-3.804,1.028,-2.836
F07SA2V1,-3.996,1.029,-2.928
F07SA3V1,-3.931,1.03,-3.387
F07SA3V2,-0.024,1.029,-0.428
F07SA3V3,-0.171,1.025,-0.047
F07SA4V1,-0.304,1.032,-0.524
F07SA5V1,-0.559,1.028,-0.121
F07SU0V1,0.026,1.029,0.186
F07SU0V2,-0.373,1.021,-0.378
F07SU1V1,-0.152,1.028,-0.62
F07SU1V2,0.006,1.027,-0.002
F07SU2V1,0.088,1.027,-0.177
F07SU2V2,0.065,1.028,-0.449
F07SU3V1,-0.038,1.027,-1.314
F07SU3V2,-0.61,1.02,-0.089
F07SU4V1,-0.264,1.028,-0.467
F07SU5V1,-0.743,1.027,-0.49
F08A0V1,-0.471,1.023,-0.06
F08A0V2,-0.5,1.018,-0.155
F08A1V1,-0.598,1.024,-0.037
F08A2V1,-0.474,1.021,-0.227
F08A3V1,-0.426,1.027,-0.565
F08A4V1,-0.439,1.023,-0.551
F08A4V2,0.115,1.02,0.061
F08A5V1,0.152,1.027,-0.194
F08A5V2,0.207,1.026,-0.438
F08D0V1,-0.424,1.021,0.015
F08D1V1,0,1.02,0.15
F08D2V1,0.055,1.027,-0.105
F08D3V1,-0.042,1.025,-0.16
F08D3V2,-0.075,1.023,0.006
F08D4V1,-0.212,1.027,0.033
F08D4V2,-0.165,1.027,0.104
F08D5V1,-0.65,1.027,0.077
F08F0V1,-0.722,1.025,-0.53
F08F1V1,0.452,1.02,-1.407
F08F1V2,0.524,1.025,-1.072
F08F2V1,0.504,1.025,-1.194
F08F3V1,0.484,1.025,-1.364
F08F4V1,0.596,1.027,-1.534
F08F4V2,0.593,1.024,-1.782
F08F5V1,-0.081,1.024,-0.114
F08F5V2,0.043,1.025,0.014
F08H0V1,1.547,1.019,-1.439
F08H0V2,-0.042,1.027,0.006
F08H0V3,-0.033,1.027,-0.027
F08H1V1,-0.398,1.027,-0.008
F08H1V2,-0.364,1.022,-0.201
F08H1V3,-0.252,1.026,-0.036
F08H1V4,-0.195,1.025,0.229
F08H2V1,-0.334,1.026,0.268
F08H2V2,-0.401,1.027,0.172
F08H3V1,0.006,1.027,0.056
F08H3V2,-0.334,1.027,0.013
F08H4V1,-0.418,1.026,0.024
F08H5V1,-0.508,1.02,-0.095
F08H5V2,0.045,1.026,-0.271
F08N1V1,-0.701,1.024,-0.06
F08N1V2,-0.707,1.024,-0.122
F08N2V1,-0.669,1.026,-0.329
F08N3V1,-0.735,1.026,-0.302
F08N4V1,-0.762,1.023,-0.351
F08N4V2,-0.842,1.022,-0.451
F08N5V1,-0.791,1.024,-0.5
F08SA0V1,-0.542,1.026,-0.255
F08SA0V2,-0.592,1.024,-0.484
F08SA0V3,-0.735,1.024,-0.503
F08SA1V1,0.233,1.026,-0.153
F08SA2V1,0.272,1.026,-0.565
F08SA3V1,0.241,1.024,-0.654
F08SA3V2,0.343,1.019,-0.726
F08SA4V1,0.294,1.024,-0.833
F08SA4V2,0.404,1.024,-1.167
F08SA5V1,0.46,1.024,-1.226
F08SU0V1,-0.653,1.023,0.076
F08SU1V1,-0.704,1.027,0.145
F08SU2V1,-0.574,1.028,0.042
F08SU2V2,-0.379,1.027,-0.136
F08SU3V1,-0.301,1.027,-0.266
F08SU4V1,-0.366,1.027,-0.168
F08SU4V2,-0.448,1.027,0.007
F08SU5V1,-0.477,1.024,-0.13
F08SU5V2,-0.451,1.023,-0.219
F09A0V1,-0.376,1.028,-0.122
F09A0V2,-0.451,1.025,-0.302
F09A1V1,-0.504,1.024,-0.319
F09A1V2,-0.545,1.025,-0.36
F09A2V1,-0.503,1.026,-0.384
F09A2V2,-0.438,1.026,-0.833
F09A3V1,-0.578,1.026,-1.106
F09A3V2,-0.751,1.027,-1.29
F09A4V1,-0.797,1.027,-1.399
F09A5V1,-0.886,1.026,-1.357
F09D0V2,-0.075,1.027,-0.035
F09D0V3,-0.499,1.029,0.395
F09D1V1,-0.13,1.023,-2.309
F09D1V2,-0.156,1.03,0.005
F09D2V1,-0.226,1.022,-0.012
F09D2V2,-0.165,1.028,-0.108
F09D2V3,-0.227,1.027,-0.226
F09D3V1,-0.209,1.028,-0.297
F09D3V2,-0.236,1.023,-0.203
F09D4V1,-0.103,1.025,-0.582
F09D5V1,-0.162,1.025,-0.492
F09F0V1,-0.344,1.027,0.315
F09F0V2,-0.021,1.029,0.016
F09F0V3,-0.007,1.029,-0.093
